Product Id,Product Name,Domain,Price,Energy-efficient score,User Rating,Learning Difficulity,Sustainable-score ,Features,Additional benefits,Compatibility,App available,Multi-user suppport,Salary support
1,Design Pro,Residential,$345,Y,4.6,Easy,Y,"3D Modeling, Material Visualization, Rendering",Collabration,"Windows,Linux,Mac Os",Y,Y,Y
2,Urban Vision,Urban,$234,Y,4.4,Moderate,Y,"Urban Planning Tools, Data Visualization",GIS Integeration,"Windows,Linux,Mac Os",N,N,Y
3,Residential Pro,Residential,$320,Y,4.5,Easy,Y,"3D Modeling, Material Visualization, Rendering",Collabration,"Windows,Linux,Mac Os",Y,Y,Y
4,Market.AI,Commercial,$300,Y,4.7,Moderate,Y,Commercial Design,AI Driven smart decisions,"Windows,Linux,Mac Os",N,Y,Y
5,Finch 3d,Commercial,$280,Y,4.8,Easy,Y,Commercial Design,AI Driven smart decisions,"Windows,Linux,Mac Os",N,Y,Y
6,HomePlanner,Interior,$123,N,4.3,Easy,N,Interior Tool,Real time Rendering,"Andriod,Windows",Y,Y,Y
7,RoomPlanner,Interior,$145,N,4.4,Easy,N,Interior Tool,Real time Rendering,"Andriod,Windows,Ios,MacOs",Y,Y,Y
8,Planner5d,Interior,$156,N,4.6,Easy,N,Interior Tool,Real time Rendering,"Andriod,Windows",Y,Y,N
9,Coohom,Interior,$200,N,3.8,Moderate,N,Interior Tool,Real time Rendering,"Andriod,Windows",Y,N,N
10,AutoCad 3d,Urban,$320,Y,4.5,Moderate,Y,"Urban Planning Tools, Data Visualization",GIS Integeration,"Windows,Linux,Mac Os",N,Y,N
11,Spacemakers,Commercial,$340,Y,4.5,Difficult,Y,Commercial Design,N,"Windows,Linux,Mac Os",N,Y,N
12,Adobe Firefly,Interior,$323,N,4.6,Moderate,Y,Interior Tool,GIS Integeration,"Andriod,Windows,Ios,MacOs",Y,Y,Y
13,Hypar,Commercial,$310,Y,4.3,Easy,N,Commercial Design,GIS Integeration,Windows,N,Y,Y
14,Interior AI,Interior,$175,N,4.3,Moderate,N,Interior Tool,N,Windows,N,Y,N
15,Cove Tool,Commercial,$360,N,4.5,Easy,Y,Commercial Design,N,"Windows,Linux,Mac Os",Y,Y,Y
16,Testfit,Design Insipiration,$350,Y,4.7,Moderate,Y,Design inspiration ,N,"Windows,Linux,Mac Os",N,N,N
17,Archistar,Design Insipiration,$123,N,4.3,Easy,N,Design inspiration ,N,Windows,N,Y,Y
18,Midjourney,Design Insipiration,$210,N,4.6,Easy,N,Design inspiration ,Free daily arts,"Andriod,Windows,Ios,MacOs",Y,N,N
19,Dall -E,Design Insipiration,$150,N,4.4,Easy,N,Design inspiration ,Free daily arts,"Andriod,Windows,Ios,MacOs",Y,N,Y
